"Sign in with a passkey","Se connecter avec une clé d'accès"
"Passkeys aren't supported on this device, and no verification-code fallback is available. Contact your administrator or return to sign in.","Les clés d'accès ne sont pas prises en charge sur cet appareil et aucun code de vérification de repli n'est disponible. Contactez votre administrateur ou revenez à la page de connexion."
"Back to sign in","Retour à la connexion"
"Passkey verification is unavailable. Contact your administrator or return to sign in.","La vérification par clé d'accès n'est pas disponible. Contactez votre administrateur ou revenez à la page de connexion."
"Opening verification-code sign-in...","Ouverture de la connexion par code de vérification..."
"Couldn't open verification-code sign-in. Return to sign in or contact your administrator.","Impossible d'ouvrir la connexion par code de vérification. Revenez à la page de connexion ou contactez votre administrateur."
"Use your passkey to finish signing in.","Utilisez votre clé d'accès pour terminer la connexion."
"Use a passkey","Utiliser une clé d'accès"
"Use a verification code instead","Utiliser plutôt un code de vérification"
"Waiting for your passkey.","En attente de votre clé d'accès."
"That didn't work — try your passkey again.","Cela n'a pas fonctionné — réessayez avec votre clé d'accès."
"That passkey couldn't be verified — try again.","Cette clé d'accès n'a pas pu être vérifiée — veuillez réessayer."
"Too many attempts. Wait a moment, then try again.","Trop de tentatives. Patientez un instant, puis réessayez."
"Set up a passkey to continue","Configurez une clé d'accès pour continuer"
"Your organization requires a passkey to keep signing in. It only takes a moment — use your fingerprint, face, screen lock, or a security key.","Votre organisation exige une clé d'accès pour continuer à vous connecter. Cela ne prend qu'un instant — utilisez votre empreinte digitale, votre visage, le verrouillage de votre écran ou une clé de sécurité."
"Remind me later ({0} sign-ins left)","Me le rappeler plus tard ({0} connexions restantes)"
"I can't set one up here","Je ne peux pas en configurer une ici"
"We've let your administrator know. Please contact them to finish signing in.","Nous avons prévenu votre administrateur. Veuillez le contacter pour terminer votre connexion."
"Try passkey setup again","Réessayer de configurer une clé d'accès"
"Sign out","Se déconnecter"
"Contact administrator","Contacter l'administrateur"
"Passkey enrollment enforcement","Obligation d'enregistrement d'une clé d'accès"
"Exempt from passkey enforcement","Exempter de l'obligation de clé d'accès"
"Remove enforcement exemption","Retirer l'exemption"
"Reset grace logins","Réinitialiser les connexions de grâce"
"Grace logins used: {0} of {1} ({2} remaining).","Connexions de grâce utilisées : {0} sur {1} ({2} restantes)."
"Exempt from enforcement","Exempté de l'obligation"
"In scope — must enroll a passkey","Concerné — doit enregistrer une clé d'accès"
"In scope — already has a passkey","Concerné — possède déjà une clé d'accès"
"Not in enforcement scope","Non concerné par l'obligation"
"{0} is now exempt from passkey enforcement.","{0} est désormais exempté de l'obligation de clé d'accès."
"Exemption removed — {0} is enforced again.","Exemption retirée — l'obligation s'applique de nouveau à {0}."
"Grace reset — {0} sign-ins to enroll before it blocks.","Connexions de grâce réinitialisées — {0} connexions pour enregistrer une clé d'accès avant le blocage."
"Couldn't update enforcement for this user — please try again.","Impossible de mettre à jour l'obligation pour cet utilisateur — veuillez réessayer."
"Add at least two enabled passkeys before turning off password sign-in.","Ajoutez au moins deux clés d'accès activées avant de désactiver la connexion par mot de passe."
"No Relying Party ID can be resolved, so passkeys cannot be enabled and sign-in will fail. Fix it one of two ways: set host_name in the site config (site_config.json) to this site's domain, or enter an explicit Passkey RP ID (a bare host name like {0}) in the field below.","Aucun identifiant de partie de confiance (RP ID) ne peut être résolu : les clés d'accès ne peuvent donc pas être activées et la connexion échouera. Deux solutions : définissez host_name dans la configuration du site (site_config.json) sur le domaine de ce site, ou saisissez un identifiant RP explicite (un simple nom d'hôte comme {0}) dans le champ ci-dessous."
"Enrollment Policy 'Enforce After Date' needs an Enforce After date — Save will fail until you set it (or choose 'Enforce' to enforce immediately).","La politique d'enregistrement « Imposer après une date » nécessite une date « Imposer à partir du » — la sauvegarde échouera tant qu'elle n'est pas définie (ou choisissez « Imposer » pour l'appliquer immédiatement)."
"Enrollment enforcement has no effect while both passkey login modes are off. Enable a passkey login mode for the policy to apply.","L'obligation d'enregistrement n'a aucun effet tant que les deux modes de connexion par clé d'accès sont désactivés. Activez un mode de connexion par clé d'accès pour que la politique s'applique."
"Privileged users (System Manager) are outside passkey enforcement. Administrators are the accounts attackers target first — industry practice enforces them first.","Les utilisateurs privilégiés (System Manager) sont hors du périmètre de l'obligation de clé d'accès. Les administrateurs sont les comptes que les attaquants ciblent en premier — les bonnes pratiques du secteur leur imposent l'obligation en priorité."
"Enforcement scope is 'Selected Roles' but no roles are listed, so the policy applies to nobody. Add the roles to enforce, or switch the scope to 'All Users'.","Le périmètre de l'obligation est « Rôles sélectionnés », mais aucun rôle n'est indiqué : la politique ne s'applique donc à personne. Ajoutez les rôles concernés ou passez le périmètre à « Tous les utilisateurs »."
"Incapable Device Policy is 'Block + Notify Admin': users on devices that cannot create a passkey (and cannot use a phone) will be blocked rather than nudged.","La politique pour appareils incompatibles est « Bloquer + avertir l'administrateur » : les utilisateurs dont l'appareil ne peut pas créer de clé d'accès (et qui ne peuvent pas utiliser de téléphone) seront bloqués au lieu d'être incités."
"This policy would require a passkey from {0} in-scope user(s) who do not have one yet.","Cette politique exigerait une clé d'accès de la part de {0} utilisateur(s) concerné(s) qui n'en ont pas encore."
"Confirm {0} to continue.","Confirmez {0} pour continuer."
"Renaming passkey…","Renommage de la clé d'accès…"
"Each Android signing-certificate fingerprint must contain exactly 64 hexadecimal characters; colons and a SHA-256 label are optional. Invalid line(s): {0}","Chaque empreinte de certificat de signature Android doit contenir exactement 64 caractères hexadécimaux ; les deux-points et le préfixe SHA-256 sont facultatifs. Ligne(s) invalide(s) : {0}"
"Native Android app origins may be listed here as android:apk-key-hash:<hash>. iOS needs no Trusted App Origin entry here; configure the exact HTTPS origin asserted by the iOS app under Passkey Origins. RP ID is credential scope, not an origin.","Les origines d'applications Android natives peuvent être indiquées ici sous la forme android:apk-key-hash:<hash>. iOS ne nécessite aucune origine d'application de confiance ici ; configurez l'origine HTTPS exacte déclarée par l'application iOS dans Origines des clés d'accès. L'identifiant RP définit la portée des identifiants, ce n'est pas une origine."
"Checking your security posture…","Vérification de votre posture de sécurité…"
"The security report couldn’t be loaded right now.","Le rapport de sécurité n'a pas pu être chargé pour le moment."
"Security posture","Posture de sécurité"
"View recommendations","Voir les recommandations"
"View report","Voir le rapport"
"Hide report","Masquer le rapport"
"What this checks","Ce qui est vérifié"
"Why passkeys are safer — and when they aren’t →","Pourquoi les clés d'accès sont plus sûres — et quand elles ne le sont pas →"
"Resolves to","Résolu en"
"Confirm action","Confirmer l'action"
"A passkey name cannot be empty.","Le nom d'une clé d'accès ne peut pas être vide."
"Enable a passkey login mode before turning on passkey-only login.","Activez un mode de connexion par clé d'accès avant d'activer la connexion par clé d'accès uniquement."
"Enabling passkey-only login needs at least two enabled passkeys, so a lost device never locks you out.","L'activation de la connexion par clé d'accès uniquement nécessite au moins deux clés d'accès activées, afin qu'un appareil perdu ne vous bloque jamais."
"Passkey not found.","Clé d'accès introuvable."
"Add a passkey before turning on passkey-only login.","Ajoutez une clé d'accès avant d'activer la connexion par clé d'accès uniquement."
"Passkey registration could not be verified.","L'enregistrement de la clé d'accès n'a pas pu être vérifié."
"Passkey","Clé d'accès"
"Device passkey","Clé d'accès de l'appareil"
"Unknown registration flow.","Type d'enregistrement inconnu."
"Not permitted.","Non autorisé."
"Passkeys are not configured for this site.","Les clés d'accès ne sont pas configurées pour ce site."
"Passkeys cannot be registered while impersonating a user.","Impossible d'enregistrer des clés d'accès en se faisant passer pour un autre utilisateur."
"Passkeys are not enabled.","Les clés d'accès ne sont pas activées."
"Passkey registration could not be completed. Re-authenticate and begin again.","L'enregistrement de la clé d'accès n'a pas pu être finalisé. Authentifiez-vous de nouveau et recommencez."
"This passkey is already registered.","Cette clé d'accès est déjà enregistrée."
"You have reached the maximum of {0} passkeys.","Vous avez atteint le maximum de {0} clés d'accès."
"Cannot disable username/password login while Passkey as Second Factor is the only passkey mode: enrolled users would have no way to sign in. Enable Login with Passkey or turn off Passkey as Second Factor in Passkey Settings first.","Impossible de désactiver la connexion par nom d'utilisateur et mot de passe tant que « Clé d'accès comme second facteur » est le seul mode de clé d'accès : les utilisateurs enregistrés n'auraient plus aucun moyen de se connecter. Activez d'abord « Connexion par clé d'accès » ou désactivez « Clé d'accès comme second facteur » dans Paramètres des clés d'accès."
"Cannot disable Two Factor Authentication: it is the structural backstop for Passkey as Second Factor. The final login veto remains fail-closed, but the required defence-in-depth floor would be lost. Disable 'Passkey as Second Factor' in Passkey Settings first.","Impossible de désactiver l'authentification à deux facteurs : c'est le filet de sécurité structurel de « Clé d'accès comme second facteur ». Le veto final à la connexion reste bloquant en cas d'échec, mais le socle requis de défense en profondeur serait perdu. Désactivez d'abord « Clé d'accès comme second facteur » dans Paramètres des clés d'accès."
"This account signs in with a passkey. Please use your passkey to continue.","Ce compte se connecte avec une clé d'accès. Veuillez utiliser votre clé d'accès pour continuer."
"This account requires a passkey after the password. Please sign in from the passkey login form.","Ce compte exige une clé d'accès après le mot de passe. Veuillez vous connecter depuis le formulaire de connexion par clé d'accès."
"Unknown nudge event.","Événement d'incitation inconnu."
"Passkey could not be verified.","La clé d'accès n'a pas pu être vérifiée."
"Passkeys aren't set up for this site.","Les clés d'accès ne sont pas configurées pour ce site."
"Please verify it's you to confirm this action.","Veuillez confirmer votre identité pour valider cette action."
"Use your passkey to confirm — password re-authentication is disabled for this account.","Utilisez votre clé d'accès pour confirmer — la réauthentification par mot de passe est désactivée pour ce compte."
"Too many attempts. Please try again later.","Trop de tentatives. Veuillez réessayer plus tard."
"Send either params or a payload fingerprint, not both.","Envoyez soit des paramètres, soit une empreinte de la charge utile, mais pas les deux."
"A confirmation action is required.","Une action de confirmation est requise."
"Confirmation parameters must be an object.","Les paramètres de confirmation doivent être un objet."
"Passkey confirmation could not be completed. Re-authenticate and begin again.","La confirmation par clé d'accès n'a pas pu être finalisée. Authentifiez-vous de nouveau et recommencez."
"That password didn't match — try again.","Ce mot de passe ne correspond pas — veuillez réessayer."
"This action requires a passkey — a password can't confirm it.","Cette action nécessite une clé d'accès — un mot de passe ne peut pas la confirmer."
"Missing confirmation payload.","Données de confirmation manquantes."
"Exempt must be true or false.","La valeur d'exemption doit être vraie ou fausse."
"No such user: {0}","Utilisateur introuvable : {0}"
"(empty)","(vide)"
"Malformed client data.","Données client mal formées."
"Cross-origin passkey ceremonies are not allowed.","Les cérémonies de clé d'accès multi-origines ne sont pas autorisées."
"Passkey credential id is too long.","L'identifiant de la clé d'accès est trop long."
"Unsupported passkey algorithm.","Algorithme de clé d'accès non pris en charge."
"Passkey backup eligibility changed — the credential is refused.","L'éligibilité à la sauvegarde de la clé d'accès a changé — l'identifiant est refusé."
"Passkey signature counter replay detected.","Rejeu du compteur de signatures de la clé d'accès détecté."
"Impossible passkey backup state.","État de sauvegarde de la clé d'accès impossible."
"Passkey signature counter regressed.","Le compteur de signatures de la clé d'accès a régressé."
"This Frappe installation serves passkeys natively (frappe.passkey). The passkeys app is an upgrade vehicle for sites that predate the native implementation — it cannot be freshly installed on top of it.","Cette installation de Frappe prend en charge les clés d'accès nativement (frappe.passkey). L'application passkeys sert à mettre à niveau les sites antérieurs à l'implémentation native — elle ne peut pas être installée par-dessus."
"Refusing to merge a credential export into live passkey data. Import into an empty installation, or pass allow_existing=True after reviewing conflicts.","Refus de fusionner un export d'identifiants dans des données de clés d'accès actives. Importez-le dans une installation vide, ou passez allow_existing=True après avoir examiné les conflits."
"This site has no encryption_key; a credential export cannot be authenticated.","Ce site n'a pas de encryption_key ; un export d'identifiants ne peut pas être authentifié."
"Cannot uninstall passkeys: username/password login is disabled and no other login method (Social Login, LDAP, Login with Email Link) is enabled. Enable one in System Settings first.","Impossible de désinstaller passkeys : la connexion par nom d'utilisateur et mot de passe est désactivée et aucune autre méthode de connexion (connexion sociale, LDAP, connexion par lien e-mail) n'est activée. Activez-en une d'abord dans Paramètres système."
"The passkeys app requires Frappe {0} or newer on this line (found {1}): older releases are exposed to CVE-2026-47194 (host-header poisoning of login links) and lack cryptography>=46.0.0 / pyOpenSSL>=26.0.0.","L'application passkeys nécessite Frappe {0} ou une version plus récente sur cette branche (version trouvée : {1}) : les versions antérieures sont exposées à la CVE-2026-47194 (empoisonnement de l'en-tête Host dans les liens de connexion) et n'incluent pas cryptography>=46.0.0 / pyOpenSSL>=26.0.0."
"Cannot uninstall passkeys: these users allow passkey login only and would be locked out: {0}. Clear 'Passkey Only Login' on their WebAuthn User Handle records first (WebAuthn User Handle list in Desk, or bench console).","Impossible de désinstaller passkeys : ces utilisateurs n'autorisent que la connexion par clé d'accès et seraient bloqués : {0}. Décochez d'abord « Connexion par clé d'accès uniquement » dans leurs fiches Handle utilisateur WebAuthn (liste Handle utilisateur WebAuthn dans Desk, ou bench console)."
"This export restores passkey-only user(s) ({0}), but no passkey login mode is enabled on this site. Enable 'Login with Passkey' in Passkey Settings before importing, or those users would be locked out.","Cet export restaure des utilisateurs en connexion par clé d'accès uniquement ({0}), mais aucun mode de connexion par clé d'accès n'est activé sur ce site. Activez « Connexion par clé d'accès » dans Paramètres des clés d'accès avant l'import, sinon ces utilisateurs seraient bloqués."
"{0} is not a passkeys credential export.","{0} n'est pas un export d'identifiants passkeys."
"{0} is an unsigned legacy passkeys export. Review its contents and site provenance, then pass allow_unsigned_legacy=True to import it explicitly.","{0} est un ancien export passkeys non signé. Examinez son contenu et le site dont il provient, puis passez allow_unsigned_legacy=True pour l'importer explicitement."
"{0} uses an unsupported passkeys export version.","{0} utilise une version d'export passkeys non prise en charge."
"{0} belongs to a different site.","{0} appartient à un autre site."
"{0} has an invalid credential-export structure.","{0} a une structure d'export d'identifiants invalide."
"{0} has inconsistent credential-export counts.","{0} contient des décomptes d'export d'identifiants incohérents."
"{0} has no supported export signature.","{0} n'a aucune signature d'export prise en charge."
"{0} failed credential-export integrity verification.","{0} a échoué à la vérification d'intégrité de l'export d'identifiants."
"A passkey was added to your account","Une clé d'accès a été ajoutée à votre compte"
"A passkey was removed from your account","Une clé d'accès a été supprimée de votre compte"
"A passkey on your account was disabled","Une clé d'accès de votre compte a été désactivée"
"A passkey on your account was flagged","Une clé d'accès de votre compte a été signalée"
"You signed in with a one-time code instead of your passkey","Connexion avec un code à usage unique au lieu de votre clé d'accès"
"A new passkey ({0}) was just added to your account on {1}.{2} If this wasn't you, remove it and change your password immediately.","Une nouvelle clé d'accès ({0}) vient d'être ajoutée à votre compte sur {1}.{2} Si ce n'était pas vous, supprimez-la et changez immédiatement votre mot de passe."
"A passkey ({0}) was removed from your account on {1}.{2} If this wasn't you, review your passkeys and sign-in methods.","Une clé d'accès ({0}) a été supprimée de votre compte sur {1}.{2} Si ce n'était pas vous, vérifiez vos clés d'accès et vos méthodes de connexion."
"A passkey ({0}) on your account was disabled by an administrator on {1}. You can no longer sign in with it. Contact your administrator if this was unexpected.","Une clé d'accès ({0}) de votre compte a été désactivée par un administrateur sur {1}. Vous ne pouvez plus vous connecter avec elle. Contactez votre administrateur si ce n'était pas prévu."
"A sign-in with your passkey ({0}) on {1} triggered a security check ({2}). This can indicate a cloned authenticator. If you did not recognize a recent sign-in, remove this passkey and review your account.","Une connexion avec votre clé d'accès ({0}) sur {1} a déclenché un contrôle de sécurité ({2}). Cela peut indiquer un authentificateur cloné. Si vous ne reconnaissez pas une connexion récente, supprimez cette clé d'accès et vérifiez votre compte."
"anomaly","anomalie"
"A user cannot satisfy passkey enrollment enforcement","Un utilisateur ne peut pas satisfaire l'obligation d'enregistrement d'une clé d'accès"
"(from IP {0})","(depuis l'IP {0})"
"Passkey added: {0}","Clé d'accès ajoutée : {0}"
"Passkey removed: {0}","Clé d'accès supprimée : {0}"
"Passkey disabled: {0}","Clé d'accès désactivée : {0}"
"Passkey flagged: {0} ({1})","Clé d'accès signalée : {0} ({1})"
"Your account has a passkey, but a recent sign-in on {0} used a one-time code (OTP) instead. If this wasn't you, review your account security.","Votre compte possède une clé d'accès, mais une connexion récente sur {0} a utilisé un code à usage unique (OTP) à la place. Si ce n'était pas vous, vérifiez la sécurité de votre compte."
"{0} is required to register a passkey to keep signing in, but reports that their device cannot create one. Consider granting this user an exemption from the Passkeys section of their User form, resetting their grace budget, or issuing a hardware security key.","{0} doit enregistrer une clé d'accès pour continuer à se connecter, mais indique que son appareil ne peut pas en créer. Envisagez d'exempter cet utilisateur depuis la section Clés d'accès de sa fiche Utilisateur, de réinitialiser ses connexions de grâce ou de lui fournir une clé de sécurité matérielle."
